; This Ascii PoiFile was generated on 29/07/2007 by PoiEdit, ©2002-2007 by Dnote Software (http://www.dnote.nl). All rights reserved.
2.0876, 48.7241, "[Cistercien nv] 78 Magny les Hameaux (Abbaye cistercienne de Port-Royal)*"
2.8642, 49.2967, "[Roman nv] 60 Gilocourt (Saint Martin et Saint Priest de Gilocourt)*"
2.878, 49.2845, "[Roman nv] 60 Béthancourt en Valois (Saint Sulpice de Béthancourt en Valois)*"
8.8766, 46.4022, "[Roman nv] CH Giornico (San Nicolao de Giornico)*"
1.93605, 48.6841, "[Cistercien nv] 78 Cernay la ville (Abbaye des Vaulx de Cernay)*"
-0.2341, 47.337, "[Roman nv] 49 Cunault (Notre dame de Cunault)*"
0.0502, 47.182, "[Roman,Fontevriste nv] 49 Fontevraud (Notre dame de Fontevraud)*"
3.2566, 50.0779, "[Cistercien nv] 59 Les Rues des Vignes (Notre Dame de Vaucelles)*"
3.8152, 45.1601, "[Roman nv] 43 Saint Paulien (Collégiale Saint Georges de Saint Paulien)*"
3.3414, 45.4489, "[Roman-Cluny nv] 635 Lamontgie (Notre Dame de Mailhat)*"
3.1247, 45.9094, "[Roman nv] 63 Mozac (Abbaye Saint Pierre de Mozac)*"
3.0578, 46.5817, "[Roman nv] 3 Bourbon l'Archambault (Saint Georges de Bourbon l'Archambault)*"
1.9459, 46.9139, "[Cistercien nv] 36 Ségry (Notre Dame de La Prée)*"
2.8466, 45.7041, "[Roman nv] 63 Orcival (Notre Dame d'Orcival)*"
3.2354, 45.9061, "[Roman nv] 63 Ennezat (Collégiale Saint-Victor et Sainte-Couronne d'Ennezat)*"
2.9726, 45.6023, "[Roman nv] 83 Saint Nectaire (Notre Dame de Saint Nectaire)*"
3.083, 45.6588, "[Roman nv] 83 Saint Saturnin (Notre Dame de Saint Saturnin)*"
2.28939, 46.7766, "[Roman nv] 18 Ineuil (Saint Martin d'Ineuil)*"
3.0196, 46.6104, "[Roman nv] 3 Ygrande (Saint Martin d'Ygrande)*"
3.8646, 45.0565, "[Roman nv] 83 Le Puy en Velay (St Michel d'Aiguilhe du Puy)*"
3.8646, 45.0565, "[Roman nv] 83 Le Puy en Velay (Notre Dame du Puy en Velay)*"
3.8646, 45.0565, "[Roman nv] 83 Le Puy en Velay (Notre Dame du Puy en Velay)*"
3.8646, 45.0565, "[Roman nv] 83 Le Puy en Velay (St Michel d'Aiguilhe du Puy)*"
4.0511, 45.0391, "[Roman nv] 83 Saint-Julien-Chapteuil (Saint Julien de Saint-Julien-Chapteuil)*"
2.45939, 46.7458, "[Cistercien nv] 18 Bruere-Allichamps (Notre Dame de Noirlac)*"
3.3646, 45.2689, "[Roman nv] 83 Lavaudieu (Notre Dame de Lavaudieu)*"
7.0106, 43.5509, "[Cistercien nv] 6 Cannes (Notre Dame de Lerins)*"
3.1148, 45.7964, "[Gothique nv] 63 Clermont-ferrand (Cathédrale Notre Dame de L'Assomption)*"
0.9633, 49.4442, "[Roman nv] 76 Saint-Martin-de-Boscherville (Saint Georges de Saint-Martin-de-Boscherville)*"
