"Lieu";"Style";;"Type";"Nom";"Rank";"Département";"Source";"Lang";"Présentation";"URL"
"Vaison la Romaine ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"Valaurie ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/tricastin.htm"
"Venasque ";"Provence";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/provence.htm"
"Angoulême ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/angoumois.htm"
"Annepont";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/surgeres.htm"
"Aulnay ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aulnay.htm"
"Beurlay";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Biron ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Chadenac ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Champagne ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Châteauneuf-sur-Charente";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Civray ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/poitousud.htm"
"Combelaval  ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/angoumois.htm"
"Corme Ecluse ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Echebrune ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Echillais ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Ecoyeux ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Fenioux";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/surgeres.htm"
"Le Douhet";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/surgeres.htm"
"Marignac ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Melle ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/poitousud.htm"
"Pérignac ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Poitiers";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/poitousud.htm"
"Rioux ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Saintes ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/saintes.htm"
"Surgères ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/surgeres.htm"
"Talmont ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/talmont.htm"
"Tesson ";"Poitou Saintonge Angoumois";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/charente.html"
"Moissac ";"Périgord Gascogne Quercy";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/moissac.htm"
"Périgueux";"Périgord Gascogne Quercy";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/perigord.html"
"St Jean de Cole ";"Périgord Gascogne Quercy";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/perigord.html"
"Souillac ";"Périgord Gascogne Quercy";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/perigord.html"
"Thiviers";"Périgord Gascogne Quercy";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/perigord.html"
"Autun";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Beaune ";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"La Charité-sur-Loire";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Fontenay";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Saulieu";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Saint Aignan ";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Tournus ";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Vézelay";"Bourgogne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bourgogne.htm"
"Agen";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"Blasimon ";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"Galgon ";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"Layrac";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"Moirax";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"Saint-Vivien ";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"La Lande-de-Fronsac ";"Agenais Bordelais";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/aquitaine.htm"
"Quimper";"Bretagne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bretagne.htm"
"Quimperlé";"Bretagne";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/bretagne.htm"
"Benet ";"Vendée";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/gatine.htm"
"Fontaines ";"Vendée";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/gatine.htm"
"Foussais ";"Vendée";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/gatine.htm"
"Oulmes ";"Vendée";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/gatine.htm"
"Serigne ";"Vendée";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/gatine.htm"
"Vouvant ";"Vendée";;;;;;"Roman Romanesque";"FR";;"http://pmarecha.free.fr/roman/gatine.htm"
"Vézelay";;;;;;;"Pitt University";"US";"Plan";"http://vrcoll.fa.pitt.edu/medart/menufrance/vezelay/vezintro.html"
"Saint Denis";;;"Basilique";;;;"Pitt University";"US";"Plan";"http://vrcoll.fa.pitt.edu/medart/menufrance/sdenis/sdenmain.html"
"Poitiers";;;;"Notre Dame la Grande";;;"Pitt University";"US";"Plan";"http://vrcoll.fa.pitt.edu/medart/menufrance/Poitiers/Notre-Dame-De-La-Grande/Poitiers-NDG-main.html"
"Toulouse";;;;"Saint Sernin";;;"Pitt University";"US";"Plan";"http://vrcoll.fa.pitt.edu/medart/menufrance/Toulouse/SSernin/Toulouse-SSernin-main.html"
"Senlis";;;;;;;"Pitt University";"US";"Plan";"http://www.pitt.edu/~medart/menufrance/senlmain.html"
"Saint Benoit sur Loire";;"Bénédictin";"Abbaye";"Saint Benoit";;;"Pitt University";"US";"Plan";"http://www.pitt.edu/~medart/menufrance/sbenmain.html"
"Saintes ";"Saintonge";;"Eglise";"Saint Eutrope";"***";;"Pitt University";"US";"Plan";"http://www.pitt.edu/~medart/menufrance/sainseut.html"
"Saintes ";"Saintonge";;"Abbaye";"aux Dames";"**";;"Pitt University";"US";"Plan";"http://www.pitt.edu/~medart/menufrance/sainabbd.html"
"Fréjus";;;"Cathédrale";;;;"Pitt University";"US";"Plan";"http://vrcoll.fa.pitt.edu/medart/image/France/Frejus/Frejus-Bapt-main.html"
"St Jacques-des-Guérets";"Vallée du Loir";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/st-j-des-g1.htm"
"Montoire";"Vallée du Loir";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/montoire.htm"
"Lavardin";"Vallée du Loir";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/lavardin.htm"
"Areines";"Vallée du Loir";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/areines.htm"
"Chauvigny";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/chauvigny.htm"
"St Pierre-les-Eglises";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/st-p-des-eglises.htm"
"Poitiers";"Poitou roman";;;"Notre Dame la Grande";"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/poitiersnd.htm"
"Saint-Jouin-de-Marne";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stjouin.htm"
"Saint-Savin";"Poitou roman";;;;"***";;"Art-Roman.net";"FR";;"http://www.art-roman.net/stsavin.htm"
