"Id";;"Editeur";"Collection/Ref";"Lang";"Titre";"Auteur";"Année";"ISBN";"Image";"URL"
249;"G3";"Taschen";"Architecture Mondiale";"FR ";"Le Monde roman";"Henri Stierlin";;3822873292;"http://www.alapage.com/get_img.php?cgi=livre_l&ref=l_isbn&num_ref=3822873292l";"http://www.alapage.com/mx/?type=1&tp=F&donnee_appel=PIEWI&l_isbn=3822873292"
250;"G3";"Office du livre";;"FR";"La Bible Romane";"Walter Cahn";;2719101605;;
251;"G3";"Taschen";;"FR";"Haut Moyen-Age";"Xavier Barral i Altet";;3822873292;;
252;"G2";"Arthaud";;"FR";"Le bestiaire sculpté en France";"AV-H Debidour";1961;;;
253;"G2";"Dervy";;"FR";"La flore des cathédrales: Le symbolisme floral dans l'architecture religieuse";"Patrick Darcheville";;2850769738;"http://images-eu.amazon.com/images/P/2850769738.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2850769738/enef-21/402-5551720-9281739"
254;"G3";"Presses Universitaires de France";;"FR";"Dictionnaire du Moyen Âge";"Michel Zink";2002;2130530575;"http://images-eu.amazon.com/images/P/2130530575.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2130530575/ref=ase_enef-21/402-5551720-9281739"
255;"G3";"Gallimard";;"FR";"Le Monde roman 1060-1220, Les Royaumes d'Occident,";"François Avril, Xavier Barral i Altet, Danielle Gaborit-Chopin";1993;2070110613;"http://images-eu.amazon.com/images/P/2070110613.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2070110613/ref=ase_enef-21/402-5551720-9281739"
256;"G3";"Assouline";;"FR";"Les symboles catholiques";"Le Gall Dom Robert,";1999;2843231434;"http://images-eu.amazon.com/images/P/2843231434.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2843231434/ref=ase_enef-21/402-5551720-9281739"
257;"G3";"Fayard";;"FR";"Le Moyen Âge en lumière : Manuscrits enluminés des bibliothèques de France";"Jacques Dalarun";2002;2213613974;"http://images-eu.amazon.com/images/P/2213613974.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2213613974/ref=ase_enef-21/402-5551720-9281739"
258;"G3";"Gallimard";;"FR";"Pour un autre Moyen Age";"Jacques Le Goff";1991;2070722562;"http://images-eu.amazon.com/images/P/2070722562.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2070722562/ref=ase_enef-21/402-5551720-9281739"
259;"G3";"Fayard";;"FR";"Dictionnaire raisonné de l'Occident médiéval";"Jacques Le Goff, Jean-Claude Schmitt";1999;2213602646;"http://images-eu.amazon.com/images/P/2213602646.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2213602646/ref=ase_enef-21/402-5551720-9281739"
